[mock-api] representative Smartsheet API on http://127.0.0.1:9787/2.0  (sheet 5500)
[mock-api] 200 GET /sheets/5500  (6 cols, 5 rows)
[mock-api] 200 GET /sheets/5500  (6 cols, 5 rows)
[mock-api] 200 GET /sheets/5500  (6 cols, 5 rows)
[mock-api] 200 GET /sheets/5500  (6 cols, 5 rows)
[mock-api] 200 PUT /sheets/5500/rows  (4 row(s) updated)
[mock-api] 200 POST /sheets/5500/rows  (1 row(s) appended)
[mock-api] 200 POST .../rows/1003/attachments  (CP101_status.pdf)
[mock-api] 200 GET /sheets/5500  (6 cols, 6 rows)
[mock-api] 200 GET /sheets/5500  (6 cols, 6 rows)
[mock-api] 200 PUT /sheets/5500/rows  (5 row(s) updated)
